,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
144,3,3,1.5,2,3,5,1,0,0,0,1,0,1,4,0.519820881,2,5,3.5,0.5,3
145,2,4,1.5,5,5,3,1,0,0,1,0,1,0,4,1.040470149,2,3,1,0.5,1
146,2,2,2,2,2.5,2,1,0,0,0,1,0,1,4,0.409841313,2,4.5,4,0.5,2
147,2,4,2.5,3,1.5,4,0,0,0,0,1,0,1,4,0.338560746,2,4,4,0.5,4
148,3,1,1,4,3,3,0,0,0,0,1,0,1,3,-0.37384501,2,4,2,1,4
149,3,4,1.5,4,3,2,1,0,0,1,0,1,0,3,0.131403939,1,2,1.5,0.5,2
150,2.5,4,1.5,4,3,5,1,0,0,1,0,1,0,4,1.040470149,2,5,2.5,0,4
151,1,1,2.5,5,2,4,1,0,0,1,0,0,0,3,-1.861656019,1,2,4,0,1
152,2,2,2,4,4.5,2,1,0,0,0,0,0,0,2,-0.505143981,2,1.5,2,0.5,2
153,3,2,2,2,1.5,5,1,0,0,0,1,0,1,4,0.81255808,1,2,2,1,4
154,1,2,1,5,1,3,0,0,0,1,0,1,0,3,0.031809064,1,3.5,1,1,1
155,3,3,1,5,1,2,1,0,0,0,0,1,0,1,-1.861656019,2,1,1,0.5,3
156,2,3,2,3,3,6,0,0,1,0,1,0,0,3,0.554840797,1,2.5,2.5,1,4
157,3,4,3,5,1,3,0,0,0,0,1,0,1,4,1.040470149,2,5,4,0.5,4
158,2,3,2,3,3,2,1,0,0,0,0,0,0,1,-1.448749007,1,3,3,1,2
159,1,3,1,4,4,3,1,0,0,1,0,1,0,3,1.091198807,1,4,1,0,1
160,2,5,1.5,4,2.5,1,0,0,0,0,0,0,0,3,-0.318355175,1,2,1,1,2
161,3,4,2.5,3,1,5,0,0,0,0,1,0,1,4,0.742971773,2,4.5,3.5,1,4
162,3,4,2.5,3,2,5,1,0,1,0,0,0,1,3,0.893776405,1,4,3,0,4
163,2,3,1.5,5,2.5,5,1,0,0,0,1,1,0,3,-0.786752021,2,1.5,1,0.5,2
164,2,2,2,4,4,5,1,0,0,0,1,0,1,3,-1.861656019,2,3,1.5,0.5,2
165,3,3,1.5,5,2,4,1,0,0,1,0,0,0,4,1.091198807,2,2,1,1,3
166,2,3,1.5,3,2.5,5,0,0,0,1,0,1,0,4,-0.11488468,2,4,2,0,2
167,2,2,1.5,5,5,3,1,0,1,1,0,1,0,4,-0.579139374,1,3,2,0,3
168,1,1,1,2,1,5,0,0,0,1,0,0,0,4,0.187022782,2,4.5,1.5,0,3
169,3,3,1,4,3.5,3,1,0,0,0,1,0,1,1,-0.023923715,1,1.5,2,1,3
170,3,2,1.5,4,4.5,3,1,0,0,0,0,0,1,2,-0.49481581,2,2,2,0.5,4
171,3,3,1,2,3.5,2,0,0,0,1,0,1,0,3,-0.05563377,2,3,3.5,0,3
172,3,4,2.5,4,3.5,2,0,0,0,0,1,0,1,4,-0.19485568,1,2,2,1,3
173,3,4,1,4,3.5,5,1,0,0,0,0,1,0,3,-0.995303582,1,2.5,2.5,1,4
174,1.5,2,1.5,1,1,2,0,0,0,0,1,0,1,4,-0.728294873,1,2,2,0.5,4
175,3,NA,2.5,5,2.5,2,1,0,0,0,0,0,1,3,0.307902898,1,1.5,4,0.5,4
176,2,3,3,4,4.5,2,0,0,0,0,1,0,1,4,0.207861087,2,3,2,1,2
177,2,3,1.5,4,1.5,5,1,1,0,0,0,1,0,4,0.126642762,1,4.5,2.5,1,3
178,2,2,1.5,4,1.5,5,0,0,0,0,1,0,1,3,0.13726561,2,2.5,2,0.5,2
179,3,2,2,1,1,5,0,0,0,0,1,0,1,4,1.091198807,1,3,4,1,4
180,2.5,1,1,2,1,6,0,0,0,0,1,0,1,4,0.237751441,2,4.5,2,1,3
181,3,4,2.5,2,1.5,2,0,0,0,0,1,1,0,3,-0.754456435,2,2.5,4,1,4
182,2.5,3,1,4,5,3,1,0,0,1,0,1,0,1,-0.200633254,1,3.5,2.5,0.5,1
183,3,3,2,5,4,2,0,1,0,0,0,1,0,4,-0.013595544,1,3,2,0.5,1
184,2.5,2,1,4,2,5,0,0,0,1,0,1,0,4,1.040470149,2,3.5,2,1,3
185,1,2,1.5,4,2.5,2,1,0,0,0,0,1,0,4,-0.105714417,2,2.5,2.5,0,2
186,3,4,1,2,2.5,2,0,0,0,0,1,1,0,4,-0.164965326,1,2.5,1,0.5,4
187,2,1,1,1,3,5,1,0,0,1,0,1,0,4,0.434525831,1,4,3,1,4
188,2,3,3,1,2,2,0,0,0,0,1,0,1,4,0.262103597,2,3,2,0.5,4
